iter	Passed	Remaining
0	145	145044
1	148	74229
2	153	50933
3	157	39152
4	161	32095
5	165	27339
6	172	24404
7	175	21820
8	179	19817
9	183	18215
10	193	17359
11	198	16302
12	203	15480
13	210	14806
14	218	14340
15	229	14101
16	236	13650
17	243	13276
18	249	12883
19	256	12569
20	261	12191
21	269	11961
22	277	11784
23	283	11509
24	294	11478
25	300	11244
26	306	11034
27	311	10827
28	317	10624
29	322	10422
30	329	10313
31	339	10280
32	344	10096
33	349	9942
34	357	9843
35	364	9760
36	372	9692
37	383	9720
38	390	9632
39	398	9570
40	406	9500
41	410	9372
42	418	9310
43	424	9226
44	429	9117
45	441	9147
46	453	9195
47	466	9252
48	477	9268
49	483	9194
50	490	9129
51	496	9051
52	503	8996
53	519	9093
54	530	9114
55	536	9045
56	544	9009
57	554	8998
58	564	9008
59	579	9082
60	591	9104
61	598	9054
62	608	9043
63	615	9002
64	622	8960
65	628	8890
66	634	8829
67	640	8774
68	645	8716
69	654	8697
70	661	8658
71	669	8632
72	676	8593
73	683	8554
74	691	8524
75	698	8488
76	706	8474
77	720	8521
78	729	8509
79	737	8482
80	744	8448
81	751	8409
82	758	8380
83	765	8352
84	772	8319
85	777	8264
86	785	8242
87	795	8246
88	804	8230
89	810	8190
90	845	8447
91	852	8410
92	860	8396
93	868	8368
94	876	8345
95	883	8318
96	893	8315
97	899	8281
98	910	8287
99	916	8251
100	924	8233
101	932	8206
102	938	8176
103	944	8139
104	1102	9394
105	1108	9350
106	1115	9308
107	1121	9265
108	1128	9224
109	1135	9186
110	1142	9146
111	1150	9122
112	1156	9079
113	1163	9042
114	1168	8994
115	1176	8967
116	1185	8943
117	1191	8906
118	1200	8888
119	1206	8844
120	1211	8799
121	1217	8759
122	1223	8725
123	1230	8690
124	1238	8669
125	1245	8642
126	1253	8617
127	1261	8593
128	1270	8579
129	1277	8548
130	1285	8528
131	1307	8594
132	1313	8565
133	1322	8548
134	1328	8512
135	1338	8505
136	1345	8475
137	1357	8478
138	1363	8447
139	1372	8433
140	1379	8402
141	1390	8398
142	1555	9320
143	1561	9280
144	1565	9233
145	1572	9198
146	1578	9162
147	1590	9157
148	1596	9115
149	1602	9082
150	1608	9044
151	1615	9010
152	1620	8973
153	1625	8929
154	1631	8894
155	1636	8852
156	1640	8808
157	1652	8804
158	1657	8768
159	1669	8766
160	1680	8756
161	1687	8730
162	1695	8704
163	1702	8680
164	1710	8658
165	1719	8637
166	1730	8630
167	1742	8629
168	1758	8646
169	1765	8621
170	1772	8594
171	1784	8590
172	1793	8572
173	1805	8570
174	1817	8570
175	1827	8554
176	1837	8541
177	1844	8516
178	1854	8504
